cluster,month,hist_norm
81,12,4.7411547
82,1,4.814009
82,2,4.7825966
82,3,4.8286147
82,4,4.8985987
82,5,4.8888154
82,6,4.860967
82,7,4.8300295
82,8,4.821946
82,9,4.826124
82,10,4.814305
82,11,4.7780824
82,12,4.776359
83,1,4.7261653
83,2,4.738304
83,3,4.779006
83,4,4.8211517
83,5,4.8575864
83,6,4.833642
83,7,4.823154
83,8,4.8207335
83,9,4.82125
83,10,4.81423
83,11,4.777945
83,12,4.751641
84,1,4.7839856
84,2,4.788224
84,3,4.813077
84,4,4.881382
84,5,4.8797507
84,6,4.872801
84,7,4.828131
84,8,4.8289194
84,9,4.824269
84,10,4.8184004
84,11,4.7726083
84,12,4.7775946
85,1,4.811477
85,2,4.8498654
85,3,4.850961
85,4,4.9115763
85,5,4.8890033
85,6,4.8698215
85,7,4.826135
85,8,4.8280334
85,9,4.820611
85,10,4.803568
85,11,4.783235
85,12,4.7992563
86,1,4.767341
86,2,4.767057
86,3,4.8042417
86,4,4.8914623
86,5,4.871137
86,6,4.8817153
86,7,4.836047
86,8,4.8175755
86,9,4.833766
86,10,4.8339
86,11,4.836367
86,12,4.833917
87,1,4.8180885
87,2,4.814802
87,3,4.847086
87,4,4.9299245
87,5,4.8805547
87,6,4.866989
87,7,4.8184743
87,8,4.823835
87,9,4.828448
87,10,4.7945523
87,11,4.7776375
87,12,4.802234
88,1,4.7724924
88,2,4.7694387
88,3,4.8090034
88,4,4.8812876
88,5,4.903861
88,6,4.884383
88,7,4.8429475
88,8,4.8395624
88,9,4.839398
88,10,4.8057356
88,11,4.792922
88,12,4.7821813
89,1,4.7096934
89,2,4.731041
89,3,4.7500877
89,4,4.8109465
89,5,4.8269
89,6,4.832346
89,7,4.832452
89,8,4.8154755
89,9,4.8330326
89,10,4.8143306
89,11,4.7774515
89,12,4.7286744
90,1,4.800099
90,2,4.791127
90,3,4.850626
90,4,4.894677
90,5,4.8975654
90,6,4.8689704
90,7,4.8337493
90,8,4.827012
90,9,4.8283205
90,10,4.805941
90,11,4.7950063
90,12,4.8087626
91,1,4.81082
91,2,4.7846766
91,3,4.8531766
91,4,4.9159026
91,5,4.883504
91,6,4.8669777
91,7,4.8295307
91,8,4.830767
91,9,4.8434143
91,10,4.838297
91,11,4.842801
91,12,4.853395
92,1,4.761852
92,2,4.7578793
92,3,4.8338
92,4,4.8985767
92,5,4.8766
92,6,4.874186
92,7,4.8323846
92,8,4.82361
92,9,4.8210955
92,10,4.8150134
92,11,4.8318105
92,12,4.8209896
93,1,4.78519
93,2,4.7768674
93,3,4.819459
93,4,4.877166
93,5,4.889558
93,6,4.871025
93,7,4.8449616
93,8,4.837008
93,9,4.8378134
93,10,4.801993
93,11,4.7744045
93,12,4.76751
