lat_r,lon_r,cluster
25.9,84.7,1009
25.9,84.8,1009
25.9,84.9,1022
25.9,85.0,1022
25.9,85.1,1022
25.9,85.2,1819
25.9,85.3,1046
25.9,85.4,1046
25.9,85.5,279
25.9,85.6,1508
25.9,85.7,1508
25.9,86.1,478
25.9,86.2,1647
25.9,86.3,1647
25.9,86.4,1915
25.9,86.5,1915
25.9,86.6,1915
25.9,86.7,1774
25.9,86.8,1774
25.9,86.9,1119
25.9,87.0,1119
25.9,87.1,1587
25.9,87.2,1587
25.9,87.3,168
25.9,87.4,1665
25.9,87.5,1665
25.9,87.6,1665
25.9,87.7,928
26.0,84.3,527
26.0,84.4,527
26.0,84.5,527
26.0,84.6,1009
26.0,84.7,1009
26.0,84.8,1675
26.0,84.9,1022
26.0,85.0,1022
26.0,85.3,1819
26.0,85.4,1819
26.0,85.5,220
26.0,85.6,220
26.0,86.0,478
26.0,86.1,1863
26.0,86.2,1647
26.0,86.3,1647
26.0,86.4,1477
26.0,86.5,1915
26.0,86.6,1915
26.0,86.7,538
26.0,86.8,862
26.0,87.0,900
26.0,87.1,949
26.0,87.2,949
26.0,87.3,1817
26.0,87.4,1817
26.0,87.5,1359
26.0,87.6,1359
26.0,87.7,668
26.0,87.8,668
26.1,84.1,174
26.1,84.2,1860
26.1,84.3,1860
26.1,84.4,527
26.1,84.5,527
26.1,84.6,1009
26.1,84.7,1675
26.1,84.8,1675
26.1,85.5,880
26.1,86.1,1863
26.1,86.2,1863
26.1,86.3,1477
26.1,86.4,1477
26.1,86.5,1477
26.1,86.6,538
26.1,86.7,538
26.1,87.0,900
26.1,87.1,900
26.1,87.2,653
26.1,87.3,653
26.1,87.4,1817
26.1,87.5,1359
26.1,87.6,1359
26.1,87.7,668
26.1,87.8,668
26.2,84.0,1935
26.2,84.1,174
26.2,84.4,504
26.2,84.5,504
26.2,85.5,880
26.2,86.1,1217
26.2,86.2,907
26.2,86.3,320
26.2,86.4,320
26.2,86.5,570
26.2,86.6,538
26.2,86.7,538
26.2,87.0,857
26.2,87.1,293
26.2,87.2,293
26.2,87.3,653
26.2,87.4,1655
26.2,87.5,131
26.2,87.6,131
26.2,87.7,668
26.2,87.8,668
26.2,87.9,1813
26.2,88.0,1813
26.3,84.3,1224
26.3,84.4,504
26.3,84.5,504
26.3,84.6,647
26.3,84.7,1457
26.3,85.3,819
26.3,85.4,427
26.3,85.5,922
26.3,86.2,907
26.3,86.3,1185
